"StockName","TotalScore","AverageStability","AverageGrowth","DailyStability","WeeklyStability","Growth15Session","Growth30Session","Growth100Session","Growth200Session"
"KTIL.NS","109.89144316730523","117.9310344827586","101.85185185185185","72.41379310344828","148.2758620689655","55.55555555555556","50.0","200.0","0.0"
"SIMPLEX.NS","109.42052224626038","111.46924962072588","107.37179487179488","55.50239234449761","148.78048780487805","46.15384615384615","83.33333333333334","100.0","200.0"
"WEIZMANIN.NS","109.00832376578646","130.51664753157291","87.5","95.5223880597015","153.84615384615384","75.0","100.0","0.0","0.0"
"SPENTEX.NS","108.33333333333334","116.66666666666667","100.0","66.66666666666667","150.0","100.0","0.0","0.0","0.0"
"ATNINTER.NS","104.7447599729547","144.4895199459094","65.0","122.98850574712642","158.82352941176472","80.0","50.0","0.0","0.0"
"KALYANIFR.NS","103.88888888888889","124.44444444444444","83.33333333333334","77.77777777777779","155.55555555555554","66.66666666666667","100.0","0.0","0.0"
"AHLUCONT.NS","102.02380952380952","100.47619047619047","103.57142857142857","61.9047619047619","126.19047619047619","57.142857142857146","57.142857142857146","100.0","200.0"
"REDINGTON.NS","102.0","104.0","100.0","60.0","133.33333333333334","100.0","0.0","0.0","0.0"
"RANEENGIN.NS","101.51515151515152","103.03030303030303","100.0","57.57575757575758","133.33333333333334","100.0","100.0","0.0","0.0"
"ORBTEXP.NS","100.6686046511628","126.33720930232559","75.0","72.09302325581396","162.5","50.0","100.0","0.0","0.0"
"PATELENG.NS","99.84657947686117","112.19315895372233","87.5","66.19718309859155","142.85714285714286","75.0","100.0","0.0","0.0"
"TARMAT.NS","98.6231884057971","147.2463768115942","50.0","84.78260869565217","188.88888888888889","100.0","0.0","0.0","0.0"
"MMFL.NS","98.05952380952381","90.76190476190476","105.35714285714286","51.904761904761905","116.66666666666667","50.0","71.42857142857143","100.0","200.0"
"HCL-INSYS.NS","98.04617604617604","116.72727272727273","79.36507936507937","73.63636363636364","145.45454545454547","71.42857142857143","66.66666666666667","100.0","0.0"
"CELEBRITY.NS","97.97600060757955","116.58692185007975","79.36507936507937","59.64912280701754","154.54545454545456","71.42857142857143","66.66666666666667","100.0","0.0"
"RICOAUTO.NS","97.67916666666666","112.02499999999999","83.33333333333333","64.0625","144.0","50.0","100.0","100.0","0.0"
"KMSUGAR.NS","97.55219222494927","100.65994000545406","94.44444444444446","62.1761658031088","126.31578947368422","50.0","33.333333333333336","200.0","0.0"
"NAGREEKCA.NS","97.27770177838578","114.55540355677155","80.0","56.97674418604652","152.94117647058823","60.0","100.0","0.0","0.0"
"PANASONIC.NS","96.86680469289165","119.13043478260869","74.60317460317461","50.0","165.2173913043478","57.142857142857146","66.66666666666667","100.0","0.0"
"BVCL.NS","95.72222222222223","116.44444444444444","75.0","57.77777777777778","155.55555555555554","50.0","100.0","0.0","0.0"
"MINDACORP.NS","95.45638945233266","110.91277890466532","80.0","65.51724137931033","141.1764705882353","60.0","100.0","0.0","0.0"
"PPAP.NS","95.18958333333333","123.71249999999999","66.66666666666667","63.28125","164.0","50.0","50.0","100.0","0.0"
"PATINTLOG.NS","95.16239316239316","116.82051282051282","73.50427350427351","72.82051282051282","146.15384615384616","53.84615384615385","66.66666666666667","100.0","0.0"
"VSSL.NS","94.8917748917749","108.83116883116885","80.95238095238095","60.714285714285715","140.90909090909093","42.85714285714286","100.0","100.0","0.0"
"SOMATEX.NS","94.63691159586682","126.77382319173364","62.5","74.6268656716418","161.53846153846155","75.0","50.0","0.0","0.0"
"GLOBALVEC.NS","93.56535947712419","109.3529411764706","77.77777777777779","55.88235294117647","145.0","66.66666666666667","66.66666666666667","100.0","0.0"
"BEML.NS","93.04071773636991","111.47826086956522","74.60317460317461","63.47826086956522","143.47826086956522","57.142857142857146","66.66666666666667","100.0","0.0"
"KSE.NS","92.94035674470457","110.88071348940915","75.0","57.971014492753625","146.15384615384616","50.0","100.0","0.0","0.0"
"GRANULES.NS","92.73809523809524","103.33333333333334","82.14285714285714","54.76190476190476","135.71428571428572","57.142857142857146","71.42857142857143","100.0","100.0"
"BHARATRAS.NS","92.29813664596273","114.59627329192547","70.0","61.49068322981366","150.0","50.0","60.0","100.0","0.0"
"ELFORGE.NS","92.2264631043257","117.78625954198473","66.66666666666667","69.46564885496184","150.0","50.0","50.0","100.0","0.0"
"PAGEIND.NS","91.32352941176471","107.64705882352942","75.0","44.117647058823536","150.0","50.0","100.0","0.0","0.0"
